Tweet,Sentiment
How unhappy  some dogs like it though,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy ,Negative
I miss going to gigs in Liverpool unhappy ,Negative
There isnt a new Riverdale tonight ? unhappy ,Negative
it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy ,Negative
Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu,Negative
don't like how jittery caffeine makes me sad ,Negative
My area's not on the list unhappy  think I'll go LibDems anyway,Negative
I want fun plans this weekend unhappy ,Negative
When can you notice me.  unhappy  what?  ,Negative
Ahhhhh! You recognized LOGAN!!! Cinemax shows have a BAD track record for getting cancelled unhappy ,Negative
Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,Negative
Not you again sad  ,Negative
Why would Harvey be going to prison? unhappy ,Negative
Missing in crying  Seaside area. ,Negative
Becoz if we will depend on your promoting its waste of hardwork to all team who ,Negative
I thought you'll save me crying ,Negative
major waffle cravings right now sad ,Negative
cant speak japanese ::(,Negative
how can people do stuff like this unhappy  ,Negative
please just stop confining animals in zoos unhappy  ,Negative
Feel like i shoyould be telling you to get the fuck out social media byout also feel really mean because unhappy  silence  love yoyou hope yoyoure okay ,Negative
i miss you huhu so busy unhappy ,Negative
it was extended family. 12 ppl.ahh wanted to show a Oh My Girl being dorky while playing a game but it got deleted unhappy ,Negative
Don't do that unhappy ,Negative
Jamie can you please reset the CGa grandfinal server... no administrator are responding unhappy ,Negative
noOoooooo YOU GONNA MISS THE BUFFET unhappy  TAKE CARE AIN!!!!!!!!!!!!!!!!! ,Negative
I wish i could vote for you unhappy ,Negative
instant message so jealous okay unhappy  but never mind haha bruno can wait finals first,Negative
when i'm enlisting can please turn up like this unhappy  ,Negative
unhappy  how come people like this have children where's the state intervention ,Negative
Ouchhhhh unhappy  ,Negative
Help... I want to stop tweeting. All I feel is endless suffering and pain. I tried to deactivate myself many times... Save me... unhappy ,Negative
For those asking,Negative
 the application is Kana Kanji Funtime! Sadly,Negative
 it looks like iOS 11 is due to kill it unhappy  ,Negative
Yeah did update to 16.04 ,Negative
 it froze a few times. Then went to 16.10,Negative
 froze mid install. Waited 3hrs he'd to pull plug crying ,Negative
Shaandaar,Negative
 Zabardast,Negative
 Another ATBB on it's way ! I wish Srk Sir starts signing good movies unhappy  ,Negative
I want Jabee crying ,Negative
sociopath full raid gear sad  ,Negative
When will you say hi sunshine ? unhappy  ,Negative
i feel bad for doing that AHAHA unhappy ,Negative
it's getting harder and harder to stay unhappy ,Negative
His face looks bloated unhappy  baby get well soon ,Negative
fuck. tried changing my settings but still in india. unhappy ,Negative
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,Negative
Let's not forget that it's also Gabriel Tenma White's birthday today!I miss unhappy  ,Negative
Why am i always taken for granted eversince unhappy ,Negative
Ah alright,Negative
 i don%27t know if you saw my comment yet,Negative
 but what camera you shooting with,Negative
 does it have flip out scr ,Negative
I miss Louis' tweets unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy ,Negative
pamura isa because in this very moment,Negative
 i want to explode like a grenade to the point where people will die with me. sad ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
i really want one of those iconic jimin stripes turtleneck shirt unhappy ,Negative
I want a spoons but I cant go unhappy  honestly feels like a messy break up unhappy ,Negative
Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
I miss Rockys posts unhappy  ,Negative
Hey Tony,Negative
 oh no unhappy  Could you please tell me a little more about your issue? Im following if youd prefer to DM. Amanda,Negative
i love mason and miss mason unhappy ,Negative
Cold as a mother crusher right now. Nearing the end of April. sad ,Negative
we don%27t talk anymore like we used to do unhappy ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
miss biking unhappy ,Negative
I miss Big brother unhappy ,Negative
6 days in camp haiss miss you a lot unhappy ,Negative
It's raining so hard unhappy ,Negative
Am bored and kandowiandg I have ando plaands for today is makiandg me eveand more bored unhappy ,Negative
oh my god not laurie penny unhappy ,Negative
can you say Hi Mekisha? unhappy ,Negative
I should never draw again unhappy ,Negative
Cleantha ,Negative
Visual Studio Installation - 89% .. BSOD comes suddenly unhappy ,Negative
i want to make waffles unhappy ,Negative
So sad unhappy  ,Negative
crying  muh feels,Negative
Look like somethings i will ignore xD Kart Racing when? unhappy ,Negative
did ate jenna just blocked me or what? unhappy ,Negative
My bed is so comfortable I don't want to get up unhappy ,Negative
Is that store still in use? If so,Negative
 I sincerely hope not too many priceless antiques were destroyed. Reg ,Negative
Astaga unhappy  /? ,Negative
I want a puppy now unhappy ,Negative
have to work unhappy  but i'll see you tomorrow!! ,Negative
happy weed day without them is not the same anymore unhappy ,Negative
my favourite lipstick hilang crying ,Negative
Time just flies,Negative
 can't believe he will be year for next year unhappy  We're becoming old HAHAHAH :v,Negative
The new Twitter reply view has me confused... like do I capitalise my replies to people or not? unhappy ,Negative
Whaddup. Me too crying ,Negative
unhappy  every time laughing my ass off,Negative
who's selling an army bomb ver 2??? meet up on sad ,Negative
Yeesh unhappy  It's fairly warm here.,Negative
easter has flown unhappy  I'm not ready to give up home luxuries like branded cereal,Negative
Ohnoo unhappy  unhappy  hope it recuperates sooner!!,Negative
Her back unhappy  ,Negative
give me a chance in west server unhappy ,Negative
but you were going to do it yesterday unhappy ,Negative
I agree. My issue would be that it all has to be paid for somehow. I just can't see the numbers adding up. sad ,Negative
I want to drink with cigarettes unhappy ,Negative
Oh mince unhappy ,Negative
The manifesto,Negative
 Nick? Might he deliver WHEN the time demands it. Story of his life - ,Negative
It's okay I've accepted you the way you are unhappy ,Negative
why do people abuse animals unhappy  they're so loyal,Negative
i'm actually crying while typing this tweet i just can't take it anymore.. not applicablehulog not applicable knock out d unhappy ,Negative
imagine if he wins next time too unhappy  unhappy ,Negative
Same unhappy ,Negative
I need Cue something that would make me smile....I'll be waiting...:( ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
these nosebleeds are getting outta hands unhappy ,Negative
I am perfectly happy being single .. Until I see a happy couple :(KISSES TheFashionIcon,Negative
Dude I just want more sleep unhappy ,Negative
Feel so fucking shit today unhappy ,Negative
wont be able to stream tonight i'm sorry guys unhappy ,Negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,Negative
your system does not recognize spaces in last names so for 2nd time unable to check in  forced to wait in unnecessary lines unhappy ,Negative
still waiting unhappy ,Negative
#NAME?,Negative
 rocks. next question - where is my astro unhappy  ? ,Negative
It was not your fault,Negative
 but the customs of Argentina that fill you with paperwork unhappy ,Negative
i tried fixing my choristers dress hem that came undone by taping it with fabric tape but i put it on wrong and its even more ruined unhappy ,Negative
Small fishie died unhappy ,Negative
It's too nice outside to be stuck in school all day unhappy ,Negative
EDM pleaseeeeeeeee   unhappy ,Negative
oh my god unhappy  next time mishutuuu,Negative
Can you say Hi julia ??pleasee crying  ,Negative
Bby unhappy  your emotion  ,Negative
I seriously thought that Coldplay was going to be band like Depeche Mode or U2,Negative
 just kept going unhappy  ,Negative
poor baby unhappy  I hate people ,Negative
unhappy  i have to be strong today jfjfjkf,Negative
I NEED A UNICORN FRAPPUCCINO STAT. I JUST FOUND OUT THEY ARE LIMITED TIMEE! unhappy  How much longer?,Negative
Her back unhappy  ,Negative
unhappy  sorry to hear this.....,Negative
I won't. if i do it's probably for phil but he hasn't seen me yet unhappy ,Negative
Yuri was here and i didn't know it unhappy  the second snsd i missed ,Negative
why are your campervan tickets so expensive? unhappy ,Negative
Canberra is a land-locked capital. unhappy  ,Negative
how much? i cant seem to deathmatch you unhappy ,Negative
.agata baby unhappy  it broke in the mail. but i read your letter  can't thank you enough. you are the best ,Negative
same unhappy ,Negative
she is! HAHA but I wanted to look like v unhappy ,Negative
unhappy  they look dead,Negative
Puta I know sorry isn't enough pero sorry padin unhappy ,Negative
mannn,Negative
 i want to go to an m's game unhappy ,Negative
unhappy   feeling bored,Negative
I wish i could sleep early unhappy ,Negative
I just hope I start getting the 1GB data per day from tonight!! unhappy ,Negative
Koalas are dying of thirst  and it's all because of us unhappy  ,Negative
i want to see you happy sad ,Negative
I just told them to bugger off and hung up! They waned access to my pc. If they phoned someone like my Gran ,Negative
my braces hurt unhappy ,Negative
Ohh welcome to CLXSSlC chanyeol oppa! Or should I call you with richard? Kalau jadi sayang gimana? unhappy ,Negative
we don%27t talk anymore like we used to do unhappy ,Negative
Claaaaaaaaaaaaasse ! ,Negative
What a pity! unhappy  Those were beautiful! But thank you for your answer!,Negative
Sciatica. What a monumental pain in the arse. unhappy ,Negative
This escalated quickly,Negative
 I'm aborting mission now have a nice day though x ,Negative
#NAME?,Negative
 rocks. next question - where is my astro unhappy  ?,Negative
Her back unhappy  ,Negative
No stream tonight! Throat is killing me. unhappy ,Negative
Me too...I won't miss the HGVs going past our house though. It was a nice looking building - had initiall ,Negative
Don't say that unhappy ,Negative
Summer's not in our school's vocabulary unhappy  We need air. Please tell ,Negative
Bae's not here unhappy ,Negative
Wanna get a haircut but i don%27t know a good place unhappy ,Negative
it feels kind of empty w/o youngjae at the venue.. unhappy ,Negative
Her back unhappy  ,Negative
Yeah ,Negative
 i think that's going to be true ,Negative
 he can't leave us unhappy ,Negative
Yesterday felt like friday unhappy ,Negative
 [PLEASE RT] he'll buy me a blinking taehyung headband,Negative
 if i get 900 retweets and 900 likes. help me :(un,Negative
yes instant message sad crying ,Negative
I face swapped a cat with a dog and it's really upsetting unhappy  ,Negative
Nice! Some really nice stuff there! Mostly black dresses which i won't get away with for a June wedding though unhappy ,Negative
I miss you unhappy ,Negative
Beyond sad unhappy ,Negative
Goodnight princess,Negative
 I love you  have fun with your friends ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
Something is really wrong. I should be spending my days naked on a beach in the hot sunshine. Not working in the cold in King's Lynn sad ,Negative
Punishment time for JB's team! unhappy  ,Negative
Aw goodnight angel! I love you lots and I hope you're going to have the best tiame and a lot of fun!! Wonho's already am,Negative
Not really an amount just loads of sections unhappy  I'll ride up to to netherton now meet me at Darby end ?,Negative
Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation ,Negative
Got a msg! Oops not you unhappy ,Negative
Just chillin~ it's a bit quiet tonight on my tough luck unhappy  what about you??,Negative
 I bet The media's one-sided view of Tim Tams surprisingly was the alt-right roar extreme droll Fad unhappy ,Negative
my hair is not as crisp unhappy ,Negative
a couple more unhappy  ,Negative
what the fuck don%27t unhappy ,Negative
Going to CA in July,Negative
 our reunion is in August unhappy ,Negative
The road and traffic signs section of theory revision is such a myth unhappy ,Negative
unhappy  We're sorry your pizza arrived with mushrooms despite your request. Could you please get in touch vi ,Negative
you're a kabute unhappy ,Negative
last to  things i've bought from you no sweets unhappy ,Negative
Wish I could stay in bed all day and listen to the rain sad ,Negative
I don't want to tell fellow Comm students because i don't want them to think I'm some kind of suck-up... unhappy ,Negative
When will you notice me? unhappy ,Negative
GO AWAY unhappy  ,Negative
ally unhappy  I can't make a poem about being cute ,Negative
ehh i cant DM you unhappy ,Negative
to  beautiful ladies and so full of fun and body confidence. .. then on the s ,Negative
why is italian easier than spanish unhappy ,Negative
i find it so difficult to says no to him unhappy  ,Negative
It's only been 3 days and to  nights since mama went back to the province but I already miss her unhappy ,Negative
i want to cry unhappy ,Negative
I love got7 but god i am bored unhappy ,Negative
i can't continue this right now because the lighting is shitty as f i swear sorry sad ,Negative
Let's have dinneeeer please unhappy ,Negative
I lost one import quizzz unhappy ,Negative
i want to be mutuals with you so bad unhappy ,Negative
Keep looking for the things I bought yesterday in my dream unhappy ,Negative
it hurts me to see him so sad unhappy  you don't understand i have to do this. if i don't kill you,Negative
 he'll kil ,Negative
i hate park jisung so much sad ,Negative
When your online crush comes to the meet-up without their Snapchat filter unhappy  ,Negative
I hate when my mom ask so you going or no? Bc then I want to stay home but i missed too much school already unhappy ,Negative
HAPPY BIRTHDAY KATRIKA  I miss you though unhappy  miss having you in our group and all haih  anyway,Negative
 have a blast okay. love you!,Negative
I miss my dogs too unhappy ,Negative
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,Negative
DIGITAL MONSTERS WANT TO WORK WITH BLACKPINK MAKE IT HAPPEN PLS unhappy  ,Negative
This is so me though ,Negative
i miss my boys unhappy  i have started working with my own local boys but they are very nervous college friends,Negative
we were classmates for alvarez but i don't really see you around school anymore unhappy ,Negative
ugh i miss my baby crying ,Negative
if anyone needs me I'll be on my vent unhappy ,Negative
why is it so hard for you to notice me? Haay unhappy ,Negative
i cant deathmatch you piss off unhappy ,Negative
When are you going to notice yous? unhappy ,Negative
And I miss my bedroom too unhappy ,Negative
please take all the rest you needwe love you so so much :(i hope you feel better soon sunshine! ,Negative
oh,Negative
 same unhappy ,Negative
I miss my baby unhappy  ,Negative
it's only been a few days since their promotion ended but i'm already missing her so much unhappy  ,Negative
i miss them unhappy ,Negative
i miss jihoon sad ,Negative
My only one cat yang manja sangat and now someone has took him unhappy  ,Negative
Not tired and there's nothing to do great combo unhappy ,Negative
And this tweet made me cry!! crying ,Negative
back to coconut hair unhappy ,Negative
Please return the jacket unhappy  ,Negative
